iter	Passed	Remaining
398	75738	114082
399	75908	113862
400	76064	113621
401	76219	113381
402	76379	113148
403	76547	112926
404	76699	112682
405	76858	112448
406	77026	112228
407	77189	112000
408	77340	111756
409	77500	111525
410	77660	111294
411	77831	111080
412	77992	110851
413	78149	110616
414	78308	110385
415	78477	110170
416	78633	109935
417	78793	109708
418	78959	109488
419	79134	109281
420	79286	109042
421	79445	108813
422	79612	108596
423	79783	108384
424	79942	108157
425	80100	107928
426	80263	107707
427	80432	107494
428	80591	107267
429	80763	107058
430	80945	106862
431	81114	106650
432	81266	106416
433	81429	106195
434	81592	105976
435	81776	105784
436	81933	105557
437	82093	105334
438	82257	105116
439	82431	104912
440	82586	104683
441	82746	104462
442	82925	104265
443	83094	104054
444	83247	103825
445	83407	103604
446	83572	103389
447	83748	103190
448	83911	102973
449	84068	102750
450	84231	102534
451	84405	102332
452	84558	102105
453	84718	101885
454	84881	101671
455	85052	101466
456	85220	101257
457	85382	101042
458	85548	100832
459	85730	100640
460	85889	100421
461	86055	100211
462	86218	99998
463	86391	99797
464	86547	99576
465	86706	99359
466	86874	99152
467	87052	98956
468	87203	98731
469	87363	98516
470	87531	98310
471	87694	98099
472	87847	97876
473	88006	97661
474	88165	97445
475	88325	97232
476	88481	97013
477	88641	96801
478	88792	96578
479	88950	96363
480	89104	96144
481	89267	95934
482	89420	95715
483	89580	95503
484	89734	95284
485	89897	95076
486	90050	94858
487	90209	94646
488	90365	94431
489	90525	94220
490	90679	94003
491	90843	93797
492	91002	93586
493	91161	93376
494	91317	93161
495	91478	92954
496	91635	92741
497	91794	92531
498	91948	92317
499	92108	92108
500	92263	91895
501	92427	91690
502	92580	91476
503	92739	91267
504	92912	91072
505	93074	90866
506	93228	90654
507	93386	90444
508	93544	90236
509	93710	90035
510	93882	89840
511	94058	89649
512	94222	89447
513	94385	89243
514	94537	89030
515	94696	88824
516	94857	88619
517	95025	88421
518	95176	88207
519	95338	88004
520	95499	87801
521	95663	87600
522	95825	87397
523	95988	87195
524	96147	86990
525	96312	86790
526	96464	86580
527	96625	86377
528	96783	86171
529	96949	85973
530	97099	85762
531	97258	85558
532	97414	85352
533	97581	85155
534	97733	84946
535	97893	84743
536	98053	84541
537	98239	84361
538	98398	84159
539	98561	83959
540	98722	83759
541	98893	83566
542	99045	83358
543	99206	83158
544	99368	82958
545	99535	82764
546	99689	82558
547	99848	82356
548	100010	82157
549	100175	81961
550	100328	81755
551	100487	81555
552	100651	81358
553	100816	81162
554	100975	80962
555	101139	80766
556	101299	80566
557	101464	80371
558	101619	80168
559	101784	79973
560	101949	79779
561	102114	79584
562	102271	79383
563	102448	79197
564	102634	79019
565	102801	78826
566	102958	78626
567	103116	78426
568	103277	78229
569	103449	78041
570	103607	77841
571	103764	77642
572	103927	77447
573	104096	77255
574	104247	77052
575	104407	76855
576	104568	76659
577	104739	76471
578	104892	76269
579	105053	76073
580	105212	75876
581	105386	75689
582	105538	75488
583	105703	75295
584	105865	75101
585	106044	74918
586	106196	74717
587	106357	74522
588	106519	74328
589	106696	74144
590	106849	73945
591	107010	73750
592	107171	73556
593	107344	73370
594	107498	73171
595	107657	72976
596	107823	72785
597	108000	72602
598	108151	72401
599	108311	72207
600	108478	72018
601	108649	71831
602	108808	71636
603	108969	71443
604	109137	71255
605	109317	71074
606	109469	70875
607	109638	70687
608	109800	70496
609	109976	70312
610	110128	70114
611	110285	69919
612	110450	69729
613	110622	69544
614	110774	69346
615	110938	69156
616	111105	68968
617	111275	68782
618	111430	68586
619	111589	68393
620	111757	68206
621	111931	68022
622	112087	67828
623	112245	67635
624	112406	67444
625	112567	67252
626	112720	67056
627	112878	66864
628	113033	66669
629	113191	66477
630	113349	66285
631	113508	66093
632	113664	65900
633	113823	65708
634	113980	65516
635	114141	65326
636	114295	65132
637	114452	64940
638	114607	64746
639	114772	64559
640	114928	64367
641	115087	64176
642	115241	63983
643	115406	63795
644	115559	63602
645	115718	63412
646	115876	63221
647	116042	63035
648	116194	62841
649	116354	62652
650	116508	62460
651	116670	62272
652	116824	62079
653	116987	61892
654	117144	61702
655	117304	61513
656	117459	61322
657	117620	61134
658	117777	60944
659	117944	60759
660	118103	60570
661	118261	60381
662	118416	60190
663	118580	60004
664	118734	59813
665	118908	59632
666	119063	59442
667	119232	59259
668	119384	59067
669	119546	58881
670	119703	58691
671	119864	58505
672	120022	58316
673	120179	58128
674	120342	57942
675	120506	57757
676	120678	57576
677	120841	57390
678	121002	57204
679	121164	57018
680	121317	56828
681	121479	56643
682	121641	56457
683	121809	56274
684	121966	56086
685	122123	55899
686	122280	55711
687	122442	55526
688	122595	55336
689	122753	55150
690	122917	54966
691	123081	54781
692	123234	54593
693	123399	54409
694	123559	54224
695	123724	54040
696	123876	53851
697	124039	53667
698	124198	53481
699	124361	53297
700	124514	53109
701	124676	52925
702	124843	52743
703	125010	52561
704	125164	52373
705	125321	52187
706	125479	52002
707	125645	51820
708	125797	51631
709	125957	51447
710	126116	51262
711	126282	51080
712	126435	50893
713	126598	50710
714	126761	50527
715	126936	50348
716	127090	50162
717	127248	49977
718	127411	49794
719	127578	49613
720	127733	49428
721	127893	49244
722	128054	49061
723	128224	48881
724	128374	48693
725	128537	48511
726	128711	48333
727	128882	48154
728	129038	47969
729	129198	47785
730	129361	47603
731	129533	47424
732	129695	47242
733	129857	47059
734	130022	46878
735	130193	46699
736	130345	46513
737	130513	46334
738	130678	46152
739	130849	45973
740	131007	45790
741	131165	45607
742	131336	45428
743	131507	45249
744	131661	45065
745	131822	44883
746	131987	44702
747	132161	44524
748	132313	44339
749	132471	44157
750	132633	43975
751	132808	43798
752	132967	43616
753	133126	43433
754	133290	43253
755	133464	43076
756	133619	42892
757	133777	42710
758	133944	42530
759	134116	42352
760	134270	42169
761	134433	41988
762	134596	41807
763	134772	41631
764	134930	41449
765	135089	41267
766	135258	41088
767	135433	40912
768	135585	40728
769	135745	40547
770	135913	40368
771	136083	40190
772	136237	40007
773	136397	39826
774	136565	39648
775	136741	39471
776	136901	39290
777	137059	39109
778	137224	38930
779	137397	38753
780	137552	38571
781	137709	38389
782	137863	38207
783	138024	38027
784	138181	37845
785	138339	37664
786	138490	37482
787	138650	37301
788	138804	37120
789	138970	36941
790	139122	36759
791	139281	36578
792	139435	36397
793	139606	36220
794	139760	36038
795	139921	35859
796	140079	35678
797	140240	35499
798	140395	35318
799	140556	35139
800	140711	34958
801	140871	34778
802	141023	34597
803	141181	34417
804	141397	34251
805	141576	34076
806	141786	33909
807	141961	33733
808	142124	33554
809	142332	33386
810	142518	33213
811	142683	33035
812	142839	32854
813	143012	32678
814	143232	32512
815	143405	32336
816	143576	32159
817	143730	31979
818	143895	31800
819	144057	31622
820	144214	31442
821	144370	31262
822	144532	31084
823	144683	30903
824	144840	30723
825	145011	30547
826	145170	30368
827	145324	30188
828	145480	30008
829	145637	29829
830	145800	29651
831	145960	29472
832	146124	29295
833	146281	29115
834	146443	28937
835	146593	28757
836	146751	28578
837	146914	28401
838	147088	28225
839	147239	28045
840	147396	27866
841	147554	27688
842	147723	27511
843	147874	27332
844	148051	27157
845	148207	26978
846	148369	26801
847	148521	26621
848	148679	26443
849	148835	26265
850	149017	26091
851	149168	25911
852	149325	25733
853	149483	25555
854	149648	25378
855	149798	25199
856	149967	25023
857	150128	24846
858	150290	24669
859	150442	24490
860	150598	24312
861	150760	24135
862	150932	23960
863	151090	23782
864	151247	23605
865	151403	23427
866	151567	23250
867	151724	23073
868	151883	22896
869	152059	22721
870	152224	22545
871	152375	22367
872	152533	22189
873	152691	22012
874	152861	21837
875	153029	21661
876	153186	21484
877	153344	21307
878	153511	21131
879	153662	20953
880	153821	20777
881	154003	20603
882	154172	20428
883	154323	20250
884	154480	20073
885	154640	19897
886	154813	19722
887	154977	19546
888	155138	19370
889	155296	19193
890	155465	19018
891	155626	18842
892	155801	18668
893	155974	18493
894	156161	18320
895	156331	18145
896	156496	17970
897	156655	17793
898	156823	17618
899	156990	17443
900	157145	17266
901	157304	17090
902	157475	16916
903	157627	16739
904	157785	16563
905	157953	16388
906	158137	16214
907	158287	16037
908	158446	15862
909	158615	15687
910	158783	15512
911	158954	15337
912	159112	15161
913	159275	14986
914	159448	14812
915	159597	14635
916	159753	14459
917	159930	14285
918	160124	14113
919	160296	13938
920	160456	13763
921	160631	13589
922	160804	13414
923	160976	13240
924	161132	13064
925	161298	12889
926	161473	12715
927	161622	12539
928	161783	12364
929	161956	12190
930	162133	12016
931	162287	11840
932	162444	11665
933	162609	11490
934	162779	11316
935	162944	11141
936	163111	10966
937	163275	10792
938	163431	10616
939	163582	10441
940	163738	10266
941	163894	10091
942	164060	9916
943	164210	9741
944	164367	9566
945	164519	9391
946	164678	9216
947	164830	9041
948	165009	8867
949	165161	8692
950	165315	8517
951	165472	8343
952	165631	8168
953	165782	7993
954	165945	7819
955	166107	7645
956	166266	7470
957	166426	7296
958	166582	7121
959	166736	6947
960	166909	6773
961	167066	6599
962	167223	6424
963	167376	6250
964	167537	6076
965	167688	5902
966	167847	5727
967	168018	5554
968	168177	5380
969	168327	5206
970	168486	5032
971	168639	4857
972	168801	4684
973	168962	4510
974	169127	4336
975	169286	4162
976	169449	3989
977	169599	3815
978	169759	3641
979	169923	3467
980	170094	3294
981	170244	3120
982	170401	2946
983	170556	2773
984	170716	2599
985	170870	2426
986	171046	2252
987	171201	2079
988	171363	1905
989	171513	1732
990	171668	1559
991	171826	1385
992	172007	1212
993	172162	1039
994	172319	865
995	172478	692
996	172641	519
997	172794	346
998	172967	173
999	173129	0
